Bulan;Vendor;Type;Total Biaya;Keterangan;Nopol;Tahun;Vendor_TextMining;Vendor_Clean
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);IMV;564600;TUNE UP;L 1559 QP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;2053450;TUNE UP;L 9356 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);NKR71 TRUCK;2799645;TUNE UP;L 8431 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);SERENA HIGWAY STAR AT;13074247;RUSAK BERAT;L 1587 FP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;3032900;TUNE UP;L 9365 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PU LC TBR 54;2114206;TUNE UP;L 8978 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);NKR71 TRUCK;3079400;TUNE UP;L 9138 BP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54 TURBO PICK UP FLAT DECK;3080545;TUNE UP;L 8047 BP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PHR 54 C BB;3080590;TUNE UP;L 9385 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);NEW KIJANG INNOVA 2.4 Q A/T DIESEL VENTURER VIN 2019;233100;TUNE UP;L 1362 DP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54 TURBO PICK UP;3081487;TUNE UP;L 8858 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54 TURBO PICK UP;3072545;TUNE UP;L 8865 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;2983249;TUNE UP;L 9363 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA 2.0 G AT;3680900;RUSAK RINGAN;L 0027 AP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Desember;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA G XW42;3865000;RUSAK RINGAN;L 1057 CP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54F TURBO LM;3067000;TUNE UP;L 1699 FP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;2920790;TUNE UP;L 9341 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54F TURBO LV;2504251;TUNE UP;L 1361 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);NKR71 TRUCK;2093960;TUNE UP;L 9140 BP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);NKR71 TRUCK;2459320;TUNE UP;L 8513 BP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);KIJANG;3087500;RUSAK RINGAN;L 1759 FP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);ACCORD CP2 2.4;20146850;RUSAK BERAT;L 1070 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54F TURBO LV PICK UP;3080145;TUNE UP;L 8862 BP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54 TURBO LM;3044135;TUNE UP;L 1031 BP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54 TURBO LMJ;3075745;TUNE UP;L 1606 FP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Desember;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54;3082635;TUNE UP;L 8552 BP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
